date,curvature,type,metric,Station,Cycle
2010-05-30,-27.794871794871796,low,FR,MOSC,24
2010-08-15,-30.125,low,FR,MOSC,24
2010-09-26,-34.166666666666664,low,FR,MOSC,24
2010-10-03,-28.65,low,FR,MOSC,24
2010-10-10,-29.866666666666667,low,FR,MOSC,24
2011-01-16,-26.181818181818183,low,FR,MOSC,24
2011-01-23,-24.5,low,FR,MOSC,24
2011-01-30,-30.1,low,FR,MOSC,24
2011-02-06,-51.0,low,FR,MOSC,24
2011-02-13,-27.2,low,FR,MOSC,24
2011-02-20,-28.0,low,FR,MOSC,24
2011-02-27,-28.615384615384617,low,FR,MOSC,24
2011-05-01,3.0,high,FR,MOSC,24
2011-05-15,-24.060606060606062,low,FR,MOSC,24
2011-11-06,-33.125,low,FR,MOSC,24
2011-11-13,-24.3125,low,FR,MOSC,24
2011-12-04,-23.176470588235293,low,FR,MOSC,24
2011-12-18,-32.732142857142854,low,FR,MOSC,24
2011-12-25,-25.0,low,FR,MOSC,24
2012-01-15,-29.0,low,FR,MOSC,24
2012-01-22,-26.9,low,FR,MOSC,24
2012-04-22,-35.357142857142854,low,FR,MOSC,24
2012-04-29,-40.0,low,FR,MOSC,24
2012-05-06,-26.058823529411764,low,FR,MOSC,24
2012-07-01,-25.21212121212121,low,FR,MOSC,24
2012-12-30,-29.076923076923077,low,FR,MOSC,24
2013-01-06,-28.058823529411764,low,FR,MOSC,24
2013-01-13,-25.071428571428573,low,FR,MOSC,24
2013-02-17,-32.1,low,FR,MOSC,24
2013-03-03,-50.857142857142854,low,FR,MOSC,24
2013-03-10,-25.333333333333332,low,FR,MOSC,24
2013-04-07,-25.5,low,FR,MOSC,24
2013-04-28,-27.75,low,FR,MOSC,24
2013-09-29,-25.11764705882353,low,FR,MOSC,24
2013-10-06,-44.75,low,FR,MOSC,24
2013-10-13,-29.88888888888889,low,FR,MOSC,24
2013-10-27,-24.181818181818183,low,FR,MOSC,24
2014-01-12,-33.0,low,FR,MOSC,24
2014-04-06,-28.166666666666668,low,FR,MOSC,24
2014-05-04,-23.714285714285715,low,FR,MOSC,24
2014-07-27,-30.615384615384617,low,FR,MOSC,24
2014-08-03,-29.266666666666666,low,FR,MOSC,24
2014-08-24,-31.571428571428573,low,FR,MOSC,24
2014-08-31,-23.933333333333334,low,FR,MOSC,24
2014-09-28,-27.272727272727273,low,FR,MOSC,24
2014-10-19,-29.681818181818183,low,FR,MOSC,24
2014-11-23,-25.83783783783784,low,FR,MOSC,24
2015-01-25,-28.625,low,FR,MOSC,24
2015-06-14,-26.61111111111111,low,FR,MOSC,24
2015-06-21,-23.5,low,FR,MOSC,24
2015-08-02,-25.470588235294116,low,FR,MOSC,24
2015-08-09,-29.6,low,FR,MOSC,24
2015-09-06,-26.57894736842105,low,FR,MOSC,24
2015-09-27,-23.0,low,FR,MOSC,24
2015-10-18,-39.57142857142857,low,FR,MOSC,24
2015-10-25,-26.535714285714285,low,FR,MOSC,24
2015-11-01,-23.0,low,FR,MOSC,24
2015-11-22,-24.142857142857142,low,FR,MOSC,24
2015-11-29,-28.727272727272727,low,FR,MOSC,24
2015-12-27,-40.22222222222222,low,FR,MOSC,24
2016-01-03,-46.0,low,FR,MOSC,24
2016-01-10,-61.46835443037975,low,FR,MOSC,24
2016-01-17,-43.25,low,FR,MOSC,24
2016-01-24,-24.0,low,FR,MOSC,24
2016-01-31,-45.44444444444444,low,FR,MOSC,24
2016-02-07,-49.70967741935484,low,FR,MOSC,24
2016-02-14,-32.666666666666664,low,FR,MOSC,24
2016-02-28,-32.40816326530612,low,FR,MOSC,24
2016-04-10,-23.558823529411764,low,FR,MOSC,24
2016-06-05,-33.8421052631579,low,FR,MOSC,24
2016-09-18,-28.677419354838708,low,FR,MOSC,24
2016-11-06,-32.21739130434783,low,FR,MOSC,24
2016-12-04,-24.3125,low,FR,MOSC,24
2016-12-11,-26.093023255813954,low,FR,MOSC,24
2017-02-26,-34.714285714285715,low,FR,MOSC,24
2017-03-19,-35.75609756097561,low,FR,MOSC,24
2017-11-26,-27.958333333333332,low,FR,MOSC,24
2018-06-10,-29.571428571428573,low,FR,MOSC,24
2018-07-15,2.4444444444444446,high,FR,MOSC,24
2018-08-05,2.375,high,FR,MOSC,24
2018-11-11,2.4,high,FR,MOSC,24
2018-11-25,2.4,high,FR,MOSC,24
2019-01-06,1.3333333333333333,high,FR,JUNG,25
2019-01-13,1.3333333333333333,high,FR,JUNG,25
2019-01-20,1.3333333333333333,high,FR,JUNG,25
2019-02-10,1.5,high,FR,JUNG,25
2019-02-17,1.5,high,FR,JUNG,25
2019-04-07,1.7142857142857142,high,FR,JUNG,25
2019-04-14,-14.833333333333334,low,FR,JUNG,25
2019-05-12,2.25,high,FR,JUNG,25
2019-05-19,2.25,high,FR,JUNG,25
2019-05-26,2.25,high,FR,JUNG,25
2019-09-01,-9.11111111111111,low,FR,JUNG,25
2019-12-15,1.8,high,FR,JUNG,25
2020-03-08,-7.0,low,FR,JUNG,25
2020-03-29,-17.896551724137932,low,FR,JUNG,25
2020-04-12,-8.666666666666666,low,FR,JUNG,25
2020-05-10,2.25,high,FR,JUNG,25
2020-05-17,2.25,high,FR,JUNG,25
2020-09-20,-8.0,low,FR,JUNG,25
2021-01-03,-17.06896551724138,low,FR,JUNG,25
2021-01-31,2.7142857142857144,high,FR,JUNG,25
2021-02-07,2.142857142857143,high,FR,JUNG,25
2021-02-21,3.5,high,FR,JUNG,25
2021-02-28,2.7142857142857144,high,FR,JUNG,25
2021-04-04,-10.133333333333333,low,FR,JUNG,25
2021-04-11,-7.0,low,FR,JUNG,25
2021-05-16,2.4,high,FR,JUNG,25
2021-05-30,2.4,high,FR,JUNG,25
2021-07-04,1.8333333333333333,high,FR,JUNG,25
2021-07-11,1.7142857142857142,high,FR,JUNG,25
2021-08-22,-10.666666666666666,low,FR,JUNG,25
2021-09-26,1.6666666666666667,high,FR,JUNG,25
2021-10-03,1.6666666666666667,high,FR,JUNG,25
2021-11-28,-16.454545454545453,low,FR,JUNG,25
2021-12-05,2.1666666666666665,high,FR,JUNG,25
2021-12-12,2.1666666666666665,high,FR,JUNG,25
2021-12-19,2.1666666666666665,high,FR,JUNG,25
2022-02-20,2.0,high,FR,JUNG,25
2022-02-27,2.0,high,FR,JUNG,25
2022-03-13,-13.1,low,FR,JUNG,25
2022-04-17,-12.625,low,FR,JUNG,25
2022-04-24,-7.090909090909091,low,FR,JUNG,25
2022-10-16,-8.666666666666666,low,FR,JUNG,25
2022-11-27,1.3333333333333333,high,FR,JUNG,25
2022-12-04,1.5,high,FR,JUNG,25
2022-12-18,-16.157894736842106,low,FR,JUNG,25
2023-02-19,1.75,high,FR,JUNG,25
2023-03-05,1.6,high,FR,JUNG,25
2023-04-09,-12.058823529411764,low,FR,JUNG,25
2023-04-16,-9.333333333333334,low,FR,JUNG,25
2023-05-28,-9.3125,low,FR,JUNG,25
2023-09-24,1.6666666666666667,high,FR,JUNG,25
2023-10-01,1.6666666666666667,high,FR,JUNG,25
2024-01-28,-9.5,low,FR,JUNG,25
2024-02-04,-13.32,low,FR,JUNG,25
2024-02-11,-8.0,low,FR,JUNG,25
2024-03-17,-8.307692307692308,low,FR,JUNG,25
2024-03-24,-9.0,low,FR,JUNG,25
2024-04-07,-7.8,low,FR,JUNG,25
2024-04-14,-8.909090909090908,low,FR,JUNG,25
2024-05-05,-8.0,low,FR,JUNG,25
2024-05-19,1.6,high,FR,JUNG,25
2024-05-26,1.6,high,FR,JUNG,25
2024-06-02,2.6666666666666665,high,FR,JUNG,25
2024-06-16,-8.357142857142858,low,FR,JUNG,25
2024-06-23,-7.642857142857143,low,FR,JUNG,25
2024-06-30,-10.157894736842104,low,FR,JUNG,25
2024-07-07,-12.818181818181818,low,FR,JUNG,25
2024-07-14,-26.0,low,FR,JUNG,25
2024-07-21,-30.65,low,FR,JUNG,25
2024-08-25,-7.0,low,FR,JUNG,25
2025-01-26,-10.333333333333334,low,FR,JUNG,25
2025-02-02,-8.222222222222221,low,FR,JUNG,25
2025-02-09,-12.5,low,FR,JUNG,25
2025-02-16,-11.692307692307692,low,FR,JUNG,25
2025-05-25,-7.222222222222222,low,FR,JUNG,25
2025-06-15,-7.916666666666667,low,FR,JUNG,25
2025-08-17,-10.368421052631579,low,FR,JUNG,25
2025-09-28,2.5,high,FR,JUNG,25
2025-10-05,2.5,high,FR,JUNG,25
2025-10-12,2.5,high,FR,JUNG,25
2025-12-07,1.8,high,FR,JUNG,25
2025-12-14,1.6666666666666667,high,FR,JUNG,25
2025-12-21,1.75,high,FR,JUNG,25
2019-01-13,2.0,high,FR,MOSC,25
2019-02-03,1.6666666666666667,high,FR,MOSC,25
2019-02-10,3.0,high,FR,MOSC,25
2019-02-17,1.6666666666666667,high,FR,MOSC,25
2019-02-24,1.8,high,FR,MOSC,25
2019-05-12,1.3333333333333333,high,FR,MOSC,25
2019-05-19,1.3333333333333333,high,FR,MOSC,25
2019-06-02,1.8333333333333333,high,FR,MOSC,25
2019-06-09,2.4285714285714284,high,FR,MOSC,25
2019-06-23,2.4285714285714284,high,FR,MOSC,25
2019-07-21,2.0,high,FR,MOSC,25
2019-07-28,2.0,high,FR,MOSC,25
2019-08-18,1.3333333333333333,high,FR,MOSC,25
2019-10-13,1.3333333333333333,high,FR,MOSC,25
2019-11-03,-17.0,low,FR,MOSC,25
2019-11-10,-26.641025641025642,low,FR,MOSC,25
2019-11-17,-41.054545454545455,low,FR,MOSC,25
2019-12-01,-9.2,low,FR,MOSC,25
2019-12-15,-16.666666666666668,low,FR,MOSC,25
2020-01-12,-11.0,low,FR,MOSC,25
2020-01-19,-11.0,low,FR,MOSC,25
2020-02-23,-19.0,low,FR,MOSC,25
2020-03-15,-9.833333333333334,low,FR,MOSC,25
2020-03-29,-11.2,low,FR,MOSC,25
2020-04-05,-9.375,low,FR,MOSC,25
2020-04-12,-23.0,low,FR,MOSC,25
2020-04-19,-11.538461538461538,low,FR,MOSC,25
2020-07-26,-13.166666666666666,low,FR,MOSC,25
2020-08-02,-18.5,low,FR,MOSC,25
2020-08-23,-10.428571428571429,low,FR,MOSC,25
2020-09-06,-14.6,low,FR,MOSC,25
2020-09-20,-13.166666666666666,low,FR,MOSC,25
2020-10-04,-15.8,low,FR,MOSC,25
2020-11-01,-14.5,low,FR,MOSC,25
2020-11-15,-15.333333333333334,low,FR,MOSC,25
2020-11-29,-9.75,low,FR,MOSC,25
2020-12-13,1.75,high,FR,MOSC,25
2020-12-20,1.75,high,FR,MOSC,25
2020-12-27,-10.142857142857142,low,FR,MOSC,25
2021-01-03,-11.5,low,FR,MOSC,25
2021-01-31,-13.565217391304348,low,FR,MOSC,25
2021-03-07,-10.636363636363637,low,FR,MOSC,25
2021-04-04,-13.1,low,FR,MOSC,25
2021-04-11,-10.636363636363637,low,FR,MOSC,25
2021-06-06,-10.76923076923077,low,FR,MOSC,25
2021-08-15,-9.6,low,FR,MOSC,25
2021-08-22,-15.909090909090908,low,FR,MOSC,25
2021-10-10,-11.333333333333334,low,FR,MOSC,25
2021-10-24,-10.0,low,FR,MOSC,25
2021-11-21,1.5,high,FR,MOSC,25
2021-11-28,-12.333333333333334,low,FR,MOSC,25
2021-12-05,-12.333333333333334,low,FR,MOSC,25
2022-01-16,1.75,high,FR,MOSC,25
2022-01-23,1.4,high,FR,MOSC,25
2022-03-27,-15.142857142857142,low,FR,MOSC,25
2022-10-16,-13.136363636363637,low,FR,MOSC,25
2022-10-23,-9.333333333333334,low,FR,MOSC,25
2022-10-30,-9.333333333333334,low,FR,MOSC,25
2022-11-06,-15.125,low,FR,MOSC,25
2022-11-13,-14.0,low,FR,MOSC,25
2023-02-05,-12.25,low,FR,MOSC,25
2023-03-19,1.75,high,FR,MOSC,25
2023-03-26,2.0,high,FR,MOSC,25
2023-04-02,1.75,high,FR,MOSC,25
2023-04-16,-10.4375,low,FR,MOSC,25
2024-02-04,-18.79310344827586,low,FR,MOSC,25
2024-06-02,1.6666666666666667,high,FR,MOSC,25
2024-07-21,-17.296296296296298,low,FR,MOSC,25
2024-09-15,1.3333333333333333,high,FR,MOSC,25
2024-09-22,1.3333333333333333,high,FR,MOSC,25
2025-02-16,-16.47826086956522,low,FR,MOSC,25
